Step	Training Loss
5670	3.076000
5680	3.184500
5690	3.154000
5700	3.123200
5710	3.134600
5720	3.051000
5730	3.134900
5740	3.189900
5750	3.097600
5760	3.102900
5770	3.126700
5780	3.143800
5790	3.146800
5800	3.121400
5810	3.101900
5820	3.168700
5830	3.063700
5840	3.128500
5850	3.111800
5860	3.017000
5870	3.109600
5880	3.161000
5890	3.153400
5900	3.076800
5910	3.231500
5920	3.073800
5930	3.190200
5940	3.081200
5950	3.044600
5960	3.119900
5970	3.154100
5980	3.140400
5990	3.153200
6000	3.144900
6010	3.148900
6020	3.176600
6030	3.117100
6040	3.086400
6050	3.130900
6060	3.166300
6070	3.071900
6080	3.223300
6090	3.098500
6100	3.108800
6110	3.087700
6120	3.108900
6130	3.128700
6140	3.121300
6150	3.191300
6160	3.179200
6170	3.040000
6180	3.106700
6190	3.121200
6200	3.133600
6210	3.091300
6220	3.142000
6230	3.202700
6240	3.104100
6250	3.069000
6260	2.980200
6270	3.019500
6280	3.006700
6290	2.990000
6300	3.002200
6310	2.970000
6320	2.989700
6330	3.058800
6340	2.984100
6350	3.003700
6360	3.027300
6370	2.837000
6380	2.969300
6390	2.968900
6400	2.925600
6410	2.958700
6420	3.022600
6430	2.981300
6440	2.965900
6450	2.943900
6460	2.937300
6470	2.991700
6480	2.907100
6490	3.002400
6500	2.978900
6510	2.975800
6520	2.937900
6530	3.018600
6540	2.939900
6550	2.998100
6560	2.960400
6570	3.027000
6580	2.959200
6590	2.971800
6600	2.926700
6610	2.934000
6620	2.934700
6630	2.953400
6640	2.943700
6650	2.903900
6660	2.937500
6670	2.957400
6680	2.974000
6690	2.964500
6700	2.991700
6710	3.015800
6720	2.907500
6730	2.938200
6740	2.982900
6750	2.969300
6760	2.962900
6770	3.040300
6780	2.976800
6790	2.958400
6800	2.998800
6810	2.972800
6820	2.959900
6830	2.951400
6840	2.960600
6850	3.010800
6860	3.018800
6870	2.953400
6880	2.997000
6890	2.939300
6900	2.987300
6910	2.945900
6920	2.983400
6930	2.951700
6940	3.016500
6950	2.937000
6960	3.018500
6970	3.004700
6980	2.990000
6990	2.987600
7000	2.998000
7010	2.977900
7020	3.056500
7030	2.961800
7040	2.947000
7050	3.024300
7060	3.004400
7070	2.924700
7080	3.058300
7090	3.008600
7100	3.000300
7110	2.983600
7120	2.928200
7130	2.973100
7140	2.915000
7150	3.015500
7160	3.019200
7170	2.997900
7180	2.942600
7190	2.961700
7200	2.958000
7210	2.925200
7220	2.931800
7230	2.927400
7240	2.990000
7250	3.054400
7260	3.018800
7270	2.959100
7280	3.009600
7290	3.048700
7300	2.957700
7310	2.899100
7320	2.967400
7330	2.936600
7340	2.947400
7350	2.981200
7360	2.976700
7370	3.023700
7380	2.945600
7390	3.002200
7400	3.117900
7410	3.007800
7420	3.000400
7430	2.988000
7440	3.005000
7450	2.950200
7460	3.006700
7470	3.063300
7480	3.000100
7490	2.984500
7500	2.980000
7510	3.018100
7520	2.985700
7530	2.888900
7540	2.919400
7550	2.998100
7560	3.019600
7570	2.962000
7580	2.908000
7590	3.023300
7600	2.946900
7610	3.051600
7620	2.946700
7630	3.025400
7640	2.901900
7650	2.970800
7660	2.921200
7670	2.967700
7680	2.992100
7690	3.015900
7700	3.056200
7710	2.989300
7720	3.023400
7730	3.001200
7740	2.945200
7750	3.043400
7760	3.030800
7770	2.965600
7780	2.952800
7790	3.070800
7800	2.941800
7810	2.970900
7820	3.010900
7830	3.014100
7840	2.978800
7850	2.984800
7860	2.949800
7870	2.935400
7880	2.922600
7890	2.932900
7900	2.982900
7910	2.989400
7920	2.998700
7930	2.915500
7940	2.949400
7950	2.938200
7960	2.948800
7970	3.003800
7980	3.007800
7990	2.991600
8000	2.895300
8010	3.054100
8020	3.037300
8030	3.015000
8040	2.976400
8050	3.042500
8060	3.058600
8070	2.952600
8080	3.018200
8090	3.051000
8100	3.019800
8110	2.958800
8120	2.983400
8130	2.958100
8140	2.918900
8150	2.967600
8160	2.889200
8170	2.922300
8180	3.060400
8190	3.010800
8200	2.956400
8210	3.008400
8220	2.976600
8230	2.961400
8240	2.987900
8250	2.973200
8260	2.977700
8270	2.965400
8280	2.969600
8290	2.983600
8300	2.979800
8310	2.951400
8320	3.000100
8330	3.007100
8340	2.887500
8350	2.951800
8360	2.913400
8370	2.968600
8380	3.015500
8390	2.978500
8400	2.954900
8410	2.897700
8420	2.958100
8430	2.968600
8440	2.981400
8450	2.921700
8460	2.984200
8470	2.998600
8480	2.952700
8490	2.974800
8500	2.951700
8510	2.931000
8520	2.968500
8530	2.943100
8540	2.962800
8550	2.967900
8560	2.936200
8570	2.996400
8580	2.950900
8590	3.095300
8600	3.019200
8610	2.951200
8620	2.934700
8630	2.992200
8640	2.961400
8650	2.977800
8660	3.132900
8670	3.053700
8680	3.002900
8690	3.021200
8700	3.015000
8710	3.045600
8720	3.028500
8730	2.944500
8740	2.958400
8750	2.932600
8760	3.002900
8770	2.985700
8780	3.027600
8790	2.985600
8800	3.050300
8810	2.968700
8820	3.045400
8830	2.942800
8840	3.052000
8850	2.986100
8860	2.961200
8870	2.988700
8880	2.966300
8890	3.044100
8900	2.968300
8910	2.977100
8920	2.974200
8930	3.029800
8940	2.947200
8950	2.890700
8960	2.878500
8970	3.011200
8980	2.938500
8990	2.971600
9000	2.973800
9010	3.002700
9020	3.027600
9030	3.018900
9040	3.035300
9050	2.939300
9060	2.946700
9070	3.034100
9080	2.961700
9090	3.008800
9100	2.959900
9110	2.998300
9120	2.924300
9130	2.930600
9140	2.922700
9150	2.947500
9160	2.967500
9170	2.916600
9180	2.968200
9190	2.992500
9200	3.005300
9210	3.011600
9220	2.973900
9230	2.989000
9240	3.018200
9250	2.920300
9260	3.027100
9270	2.948900
9280	2.958700
9290	3.018500
9300	3.009400
9310	2.975200
9320	3.038800
9330	3.028500
9340	2.980100
9350	2.950500
9360	2.975600
9370	2.944600
